idade_pessoa,renda_pessoa,propriedade_casa_pessoa,tempo_emprego_pessoa,intencao_emprestimo,grau_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,percentual_renda_emprestimo,inadimplente_pessoa,grau_emprestimo_encoded
26.0,84996.0,Rent,0.0,Medical,B,9000.0,11.26,0.0,0.11,N,1.0
24.0,55782.0,Rent,3.0,Homeimprovement,A,17000.0,7.51,0.0,0.3,N,0.0
25.0,125000.0,Own,9.0,Personal,B,25000.0,10.59,0.0,0.2,N,1.0
23.0,44340.0,Own,0.0,Venture,C,3000.0,12.98,0.0,0.07,Y,2.0
23.0,48000.0,Mortgage,5.0,Education,C,5000.0,13.99,0.0,0.1,Y,2.0
29.0,50000.0,Mortgage,4.0,Medical,B,21850.0,12.42,0.0,0.44,N,1.0
27.0,35000.0,Rent,8.0,Personal,B,12000.0,9.91,1.0,0.34,N,1.0
32.0,19200.0,Rent,0.0,Venture,B,5000.0,9.99,1.0,0.26,N,1.0
30.0,36000.0,Rent,3.0,Personal,B,8000.0,11.36,0.0,0.22,N,1.0
22.0,70800.0,Rent,6.0,Education,C,10000.0,12.61,0.0,0.14,Y,2.0
22.0,45000.0,Rent,1.0,Venture,E,10000.0,17.985095548514153,1.0,0.22,N,4.0
24.0,82000.0,Mortgage,8.0,Personal,A,6000.0,6.76,0.0,0.07,N,0.0
36.0,39520.0,Own,14.0,Venture,A,5000.0,5.79,0.0,0.13,N,0.0
30.0,36000.0,Rent,6.0,Debtconsolidation,C,4500.0,13.49,0.0,0.13,Y,2.0
25.0,155000.0,Mortgage,9.0,Medical,A,18000.0,7.51,0.0,0.12,N,0.0
29.0,220000.0,Mortgage,13.0,Debtconsolidation,B,8500.0,10.37,0.0,0.04,N,1.0
28.0,215662.0,Mortgage,12.0,Venture,B,21000.0,11.99,0.0,0.1,N,1.0
29.0,175000.0,Mortgage,2.0,Homeimprovement,A,10000.0,7.964523163848274,0.0,0.06,N,0.0
33.0,54000.0,Rent,15.0,Debtconsolidation,B,10000.0,10.99,0.0,0.19,N,1.0
21.0,45000.0,Rent,3.0,Personal,A,3200.0,6.54,0.0,0.07,N,0.0
24.0,44000.0,Rent,2.0,Personal,A,10000.0,7.49,0.0,0.23,N,0.0
36.0,45344.0,Mortgage,11.0,Education,A,16750.0,7.88,0.0,0.37,N,0.0
31.0,50402.0,Mortgage,4.0,Venture,C,3000.0,13.22,0.0,0.06,Y,2.0
21.0,53000.0,Mortgage,5.0,Venture,C,18000.0,13.8,0.0,0.34,Y,2.0
23.0,71500.0,Rent,3.0,Debtconsolidation,D,30000.0,15.6356078490556,1.0,0.42,N,3.0
36.0,24000.0,Mortgage,2.0,Debtconsolidation,A,1500.0,9.63,0.0,0.06,N,0.0
33.0,42996.0,Rent,2.0,Venture,A,8200.0,7.88,0.0,0.19,N,0.0
30.0,62000.0,Rent,14.0,Medical,B,12000.0,11.71,0.0,0.19,N,1.0
23.0,80000.0,Own,7.0,Venture,B,25000.0,9.99,0.0,0.31,N,1.0
23.0,65000.0,Mortgage,7.0,Education,A,10500.0,6.03,0.0,0.16,N,0.0
22.0,50000.0,Mortgage,6.0,Personal,A,15000.0,7.9,0.0,0.3,N,0.0
27.0,61000.0,Mortgage,11.0,Medical,B,1200.0,10.37,0.0,0.02,N,1.0
24.0,64000.0,Mortgage,8.0,Education,A,5000.0,7.88,1.0,0.08,N,0.0
30.0,50000.0,Mortgage,14.0,Debtconsolidation,A,1875.0,8.0,0.0,0.04,N,0.0
47.0,168000.0,Mortgage,13.0,Education,A,8775.0,8.49,0.0,0.05,N,0.0
27.0,146000.0,Mortgage,5.0,Medical,A,2500.0,8.49,0.0,0.02,N,0.0
22.0,90000.0,Rent,7.0,Venture,A,12000.0,5.79,0.0,0.13,N,0.0
23.0,90096.0,Mortgage,0.0,Education,C,10150.0,11.97,0.0,0.11,N,2.0
35.0,70360.0,Rent,8.0,Education,A,10000.0,6.62,0.0,0.14,N,0.0
24.0,40000.0,Rent,8.0,Medical,C,4500.0,12.84,0.0,0.11,N,2.0
35.0,21340.0,Rent,0.0,Debtconsolidation,B,8000.0,11.14,1.0,0.37,N,1.0
22.0,96000.0,Mortgage,3.0,Education,C,11400.0,13.04,0.0,0.12,Y,2.0
21.0,40000.0,Rent,3.0,Education,D,7000.0,14.46,0.0,0.17,N,3.0
31.0,95000.0,Mortgage,1.0,Debtconsolidation,B,25000.0,10.08,0.0,0.26,N,1.0
21.0,41900.0,Rent,2.0,Venture,C,16000.0,12.84,1.0,0.38,Y,2.0
24.0,60000.0,Mortgage,8.0,Venture,A,2800.0,9.32,0.0,0.05,N,0.0
33.0,25200.0,Rent,3.0,Medical,E,1600.0,16.69,1.0,0.06,N,4.0
27.0,16800.0,Rent,3.0,Debtconsolidation,B,6500.0,11.99,1.0,0.39,N,1.0
28.0,39000.0,Rent,6.0,Medical,D,10000.0,14.96,1.0,0.26,N,3.0
23.0,60000.0,Rent,0.0,Venture,A,8400.0,7.49,0.0,0.14,N,0.0
51.0,667680.0,Mortgage,19.0,Personal,C,10000.0,13.98,0.0,0.01,Y,2.0
35.0,20000.0,Rent,0.0,Education,D,8500.0,15.05,1.0,0.42,Y,3.0
30.0,43000.0,Rent,1.0,Medical,A,3200.0,8.0,0.0,0.07,N,0.0
36.0,46000.0,Mortgage,3.0,Venture,A,8000.0,5.42,0.0,0.17,N,0.0
24.0,67000.0,Own,3.0,Venture,C,13000.0,12.998157665687401,0.0,0.19,Y,2.0
26.0,25000.0,Mortgage,10.0,Medical,A,7000.0,6.99,0.0,0.28,N,0.0
30.0,148000.0,Rent,8.0,Venture,D,10000.0,13.55,0.0,0.07,N,3.0
37.0,6000.0,Own,3.0,Venture,A,1300.0,6.03,1.0,0.22,N,0.0
22.0,41000.0,Rent,2.0,Debtconsolidation,D,3600.0,16.77,1.0,0.09,Y,3.0
26.0,60000.0,Mortgage,10.0,Medical,A,12500.0,6.92,0.0,0.21,N,0.0
32.0,35000.0,Mortgage,2.0,Personal,C,6075.0,13.49,0.0,0.17,N,2.0
24.0,37000.0,Mortgage,8.0,Venture,B,10000.0,10.99,0.0,0.27,N,1.0
23.0,24000.0,Own,0.0,Education,A,7000.0,7.14,0.0,0.29,N,0.0
26.0,45243.0,Rent,3.0,Venture,B,4800.0,9.25,0.0,0.11,N,1.0
